DATE;value;
2003-01;2,40;
2003-02;1,85;
2003-03;1,87;
2003-04;1,97;
2003-05;2,31;
2003-06;1,80;
2003-07;1,61;
2003-08;1,57;
2003-09;1,61;
2003-10;1,71;
2003-11;1,72;
2003-12;1,79;
2004-01;2,03;
2004-02;2,15;
2004-03;1,55;
2004-04;1,05;
2004-05;0,52;
2004-06;0,90;
2004-07;1,05;
2004-08;1,19;
2004-09;1,06;
2004-10;1,21;
2004-11;1,12;
2004-12;0,28;
2005-01;1,37;
2005-02;0,97;
2005-03;0,94;
2005-04;1,39;
2005-05;1,38;
2005-06;0,94;
2005-07;0,84;
2005-08;0,66;
2005-09;0,26;
2005-10;0,46;
2005-11;0,89;
2005-12;0,94;
2006-01;0,88;
2006-02;0,69;
2006-03;1,05;
2006-04;0,54;
2006-05;0,72;
2006-06;0,63;
2006-07;0,98;
2006-08;1,16;
2006-09;1,32;
2006-10;1,80;
2006-11;1,16;
2006-12;1,26;
2007-01;1,26;
2007-02;1,12;
2007-03;0,85;
2007-04;0,74;
2007-05;0,88;
2007-06;1,00;
2007-07;1,22;
2007-08;1,20;
2007-09;0,50;
2007-10;0,35;
2007-11;-0,14;
2007-12;-0,00;
2008-01;0,74;
2008-02;0,41;
2008-03;-0,24;
2008-04;0,51;
2008-05;-0,16;
2008-06;-0,03;
2008-07;-0,06;
2008-08;0,51;
2008-09;0,58;
2008-10;1,33;
2008-11;2,53;
2008-12;2,62;
2009-01;2,78;
2009-02;2,27;
2009-03;2,84;
2009-04;2,36;
2009-05;2,88;
2009-06;2,74;
2009-07;3,29;
2009-08;2,83;
2009-09;2,82;
2009-10;2,64;
2009-11;2,50;
2009-12;1,77;
2010-01;2,22;
2010-02;2,29;
2010-03;1,11;
2010-04;1,15;
2010-05;1,84;
2010-06;2,04;
2010-07;1,09;
2010-08;1,12;
2010-09;0,92;
2010-10;1,01;
2010-11;0,54;
2010-12;0,89;
2011-01;0,75;
2011-02;0,71;
2011-03;0,58;
2011-04;0,75;
2011-05;0,89;
2011-06;0,78;
2011-07;0,68;
2011-08;0,65;
2011-09;0,14;
2011-10;0,21;
2011-11;0,51;
2011-12;0,67;
2012-01;0,87;
2012-02;0,72;
2012-03;0,54;
2012-04;0,49;
2012-05;0,38;
2012-06;0,37;
2012-07;0,22;
2012-08;-0,07;
2012-09;0,08;
2012-10;-0,17;
2012-11;-0,23;
2012-12;-0,33;
2013-01;0,01;
2013-02;0,02;
2013-03;0,20;
2013-04;0,29;
2013-05;-0,19;
2013-06;-0,47;
2013-07;-0,51;
2013-08;-0,15;
2013-09;0,05;
2013-10;0,22;
2013-11;0,23;
2013-12;0,11;
2014-01;0,12;
2014-02;0,14;
2014-03;0,22;
2014-04;-0,08;
2014-05;0,59;
2014-06;0,37;
2014-07;0,46;
2014-08;0,23;
2014-09;0,29;
2014-10;0,29;
2014-11;0,59;
2014-12;0,93;
2015-01;1,38;
2015-02;1,07;
2015-03;0,81;
2015-04;0,14;
2015-05;-0,26;
2015-06;-0,02;
2015-07;0,03;
2015-08;0,14;
2015-09;0,51;
2015-10;-0,00;
2015-11;0,69;
2015-12;0,76;
2016-01;0,49;
2016-02;0,93;
2016-03;0,63;
2016-04;1,04;
2016-05;0,68;
2016-06;0,53;
2016-07;0,30;
2016-08;0,46;
2016-09;0,17;
2016-10;-0,05;
2016-11;-0,03;
2016-12;-0,81;
2017-01;-0,97;
2017-02;-1,18;
2017-03;-0,70;
2017-04;-1,06;
2017-05;-0,32;
2017-06;-0,66;
2017-07;-0,69;
2017-08;-0,93;
2017-09;-1,03;
2017-10;-0,64;
2017-11;-0,86;
2017-12;-0,80;
2018-01;-0,68;
2018-02;-0,39;
2018-03;-0,75;
2018-04;-0,79;
2018-05;-1,45;
2018-06;-1,22;
2018-07;-1,25;
2018-08;-1,21;
2018-09;-1,43;
2018-10;-1,57;
2018-11;-1,42;
2018-12;-1,03;
2019-01;-0,60;
2019-02;-0,71;
2019-03;-0,56;
2019-04;-1,15;
2019-05;-0,72;
2019-06;-0,90;
2019-07;-0,80;
2019-08;-0,66;
2019-09;-0,57;
2019-10;-0,11;
2019-11;-0,42;
2019-12;-0,89;
2020-01;-1,44;
2020-02;-1,39;
2020-03;-1,18;
2020-04;-0,31;
2020-05;-0,20;
2020-06;0,09;
2020-07;1,35;
2020-08;1,15;
2020-09;1,11;
2020-10;0,90;
2020-11;0,41;
2020-12;0,79;
2021-01;-0,64;
2021-02;-0,99;
2021-03;-1,37;
2021-04;-1,65;
2021-05;-1,84;
2021-06;-2,07;
2021-07;-3,28;
2021-08;-3,34;
2021-09;-3,62;
2021-10;-3,84;
2021-11;-4,12;
2021-12;-4,19;
2022-01;-3,68;
2022-02;-3,80;
2022-03;-5,21;
2022-04;-5,50;
2022-05;-5,93;
2022-06;-5,53;
2022-07;-5,58;
2022-08;-5,66;
2022-09;-6,73;
2022-10;-6,72;
2022-11;-6,53;
2022-12;-6,09;
2023-01;-6,19;
2023-02;-6,08;
2023-03;-4,96;
2023-04;-4,53;
2023-05;-3,49;
2023-06;-3,64;
2023-07;-3,40;
2023-08;-3,10;
2023-09;-1,51;
2023-10;-0,78;
2023-11;-0,02;
2023-12;-0,51;
2024-01;-0,09;
2024-02;0,15;
